C: 1.0,  Sigma: 0.05, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 36.0, Eidx_CV: 50.00001 
C: 1.0,  Sigma: 0.04, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 36.0, Eidx_CV: 50.0 
C: 0.7,  Sigma: 0.1, TP:20.0, FP:29.0, TN:0.0, FN:1.0, Precesion: 0.41, Recall: 0.95, Accuracy: 0.4, Eidx_Training: 73.84043, Eidx_CV: 50.08792 
C: 0.7,  Sigma: 0.3, TP:2.0, FP:0.0, TN:29.0, FN:19.0, Precesion: 1.0, Recall: 0.1, Accuracy: 0.62, Eidx_Training: 51.67844, Eidx_CV: 48.49829 
C: 0.7,  Sigma: 0.8, TP:13.0, FP:14.0, TN:15.0, FN:8.0, Precesion: 0.48, Recall: 0.62, Accuracy: 0.56, Eidx_Training: 137.15513, Eidx_CV: 48.71734 
C: 0.8,  Sigma: 1.0, TP:9.0, FP:13.0, TN:16.0, FN:12.0, Precesion: 0.41, Recall: 0.43, Accuracy: 0.5, Eidx_Training: 134.5263, Eidx_CV: 43.96097 
C: 1.5,  Sigma: 2.0, TP:20.0, FP:26.0, TN:3.0, FN:1.0, Precesion: 0.43, Recall: 0.95, Accuracy: 0.46, Eidx_Training: 386.96216, Eidx_CV: 76.72736 
C: 0.7,  Sigma: 2.0, TP:3.0, FP:3.0, TN:26.0, FN:18.0, Precesion: 0.5, Recall: 0.14, Accuracy: 0.58, Eidx_Training: 184.63373, Eidx_CV: 51.24914 
C: 1.0,  Sigma: 0.5, TP:18.0, FP:26.0, TN:3.0, FN:3.0, Precesion: 0.41, Recall: 0.86, Accuracy: 0.42, Eidx_Training: 159.31889, Eidx_CV: 51.95769 
C: 1.3,  Sigma: 1.5, TP:11.0, FP:9.0, TN:20.0, FN:10.0, Precesion: 0.55, Recall: 0.52, Accuracy: 0.62, Eidx_Training: 149.04693, Eidx_CV: 43.79637 
C: 1.3,  Sigma: 0.5, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 333.66663, Eidx_CV: 69.45797 
C: 1.0,  Sigma: 1.5, TP:14.0, FP:14.0, TN:15.0, FN:7.0, Precesion: 0.5, Recall: 0.67, Accuracy: 0.58, Eidx_Training: 194.7158, Eidx_CV: 45.22666 
C: 0.7,  Sigma: 1.5, TP:9.0, FP:8.0, TN:21.0, FN:12.0, Precesion: 0.53, Recall: 0.43, Accuracy: 0.6, Eidx_Training: 138.06425, Eidx_CV: 42.77765 
C: 0.8,  Sigma: 0.8, TP:18.0, FP:20.0, TN:9.0, FN:3.0, Precesion: 0.47, Recall: 0.86, Accuracy: 0.54, Eidx_Training: 211.92488, Eidx_CV: 52.23096 
C: 1.3,  Sigma: 0.8, TP:18.0, FP:23.0, TN:6.0, FN:3.0, Precesion: 0.44, Recall: 0.86, Accuracy: 0.48, Eidx_Training: 254.04101, Eidx_CV: 58.38092 
C: 0.7,  Sigma: 0.5, TP:16.0, FP:20.0, TN:9.0, FN:5.0, Precesion: 0.44, Recall: 0.76, Accuracy: 0.5, Eidx_Training: 139.42251, Eidx_CV: 50.75525 
C: 0.6,  Sigma: 0.5, TP:20.0, FP:28.0, TN:1.0, FN:1.0, Precesion: 0.42, Recall: 0.95, Accuracy: 0.42, Eidx_Training: 157.47762, Eidx_CV: 51.48912 
C: 0.7,  Sigma: 1.0, TP:15.0, FP:18.0, TN:11.0, FN:6.0, Precesion: 0.45, Recall: 0.71, Accuracy: 0.52, Eidx_Training: 184.41855, Eidx_CV: 48.02409 
C: 1.3,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.79501, Eidx_CV: 56.8606 
C: 1.3,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.06344, Eidx_CV: 56.83076 
C: 1.8,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.20201, Eidx_CV: 65.41826 
C: 1.5,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.20201, Eidx_CV: 65.41826 
C: 3.0,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.20201, Eidx_CV: 65.41826 
C: 2.0,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.20201, Eidx_CV: 65.41826 
C: 4.0,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.20201, Eidx_CV: 65.41826 
C: 0.6,  Sigma: 1.0, TP:11.0, FP:13.0, TN:16.0, FN:10.0, Precesion: 0.46, Recall: 0.52, Accuracy: 0.54, Eidx_Training: 145.25807, Eidx_CV: 45.69162 
C: 1.8,  Sigma: 1.0, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 422.21138, Eidx_CV: 80.83458 
C: 0.6,  Sigma: 1.5, TP:7.0, FP:4.0, TN:25.0, FN:14.0, Precesion: 0.64, Recall: 0.33, Accuracy: 0.64, Eidx_Training: 129.86423, Eidx_CV: 42.15611 
C: 1.5,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 4.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 4.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 1.5,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 1.5,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 1.8,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 1.8,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 1.3,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.07832, Eidx_CV: 56.82225 
C: 1.5,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 3.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 4.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 2.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 1.8,  Sigma: 0.3, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 289.519, Eidx_CV: 61.45582 
C: 3.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 3.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 1.8,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 4.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 2.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 2.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 1.3,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.07832, Eidx_CV: 56.82224 
C: 2.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 1.3,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.09464, Eidx_CV: 65.39626 
C: 1.8,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 4.0,  Sigma: 0.3, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 374.92032, Eidx_CV: 77.06695 
C: 3.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 0.6,  Sigma: 0.8, TP:10.0, FP:9.0, TN:20.0, FN:11.0, Precesion: 0.53, Recall: 0.48, Accuracy: 0.6, Eidx_Training: 120.56249, Eidx_CV: 44.3685 
C: 3.0,  Sigma: 0.3, TP:14.0, FP:23.0, TN:6.0, FN:7.0, Precesion: 0.38, Recall: 0.67, Accuracy: 0.4, Eidx_Training: 46.3369, Eidx_CV: 50.51717 
C: 1.5,  Sigma: 1.5, TP:20.0, FP:21.0, TN:8.0, FN:1.0, Precesion: 0.49, Recall: 0.95, Accuracy: 0.56, Eidx_Training: 247.23869, Eidx_CV: 51.14628 
C: 3.0,  Sigma: 1.5, TP:21.0, FP:23.0, TN:6.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 334.08304, Eidx_CV: 66.28062 
C: 0.6,  Sigma: 2.0, TP:2.0, FP:3.0, TN:26.0, FN:19.0, Precesion: 0.4, Recall: 0.1, Accuracy: 0.56, Eidx_Training: 161.95267, Eidx_CV: 45.62205 
C: 3.0,  Sigma: 0.8, TP:16.0, FP:18.0, TN:11.0, FN:5.0, Precesion: 0.47, Recall: 0.76, Accuracy: 0.54, Eidx_Training: 189.87485, Eidx_CV: 52.37964 
C: 0.8,  Sigma: 2.0, TP:10.0, FP:10.0, TN:19.0, FN:11.0, Precesion: 0.5, Recall: 0.48, Accuracy: 0.58, Eidx_Training: 167.17033, Eidx_CV: 45.64964 
C: 1.8,  Sigma: 0.8, TP:18.0, FP:26.0, TN:3.0, FN:3.0, Precesion: 0.41, Recall: 0.86, Accuracy: 0.42, Eidx_Training: 268.4958, Eidx_CV: 60.3035 
C: 0.8,  Sigma: 0.5, TP:19.0, FP:28.0, TN:1.0, FN:2.0, Precesion: 0.4, Recall: 0.9, Accuracy: 0.4, Eidx_Training: 187.65427, Eidx_CV: 53.15297 
C: 2.0,  Sigma: 2.0, TP:21.0, FP:25.0, TN:4.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 336.14314, Eidx_CV: 64.72197 
C: 1.0,  Sigma: 1.0, TP:16.0, FP:17.0, TN:12.0, FN:5.0, Precesion: 0.48, Recall: 0.76, Accuracy: 0.56, Eidx_Training: 188.72087, Eidx_CV: 49.19122 
C: 0.8,  Sigma: 0.3, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 210.18473, Eidx_CV: 55.6892 
C: 1.5,  Sigma: 0.8, TP:13.0, FP:13.0, TN:16.0, FN:8.0, Precesion: 0.5, Recall: 0.62, Accuracy: 0.58, Eidx_Training: 121.25365, Eidx_CV: 46.69571 
C: 0.8,  Sigma: 1.5, TP:4.0, FP:3.0, TN:26.0, FN:17.0, Precesion: 0.57, Recall: 0.19, Accuracy: 0.6, Eidx_Training: 161.6913, Eidx_CV: 50.27269 
C: 1.0,  Sigma: 0.8, TP:17.0, FP:21.0, TN:8.0, FN:4.0, Precesion: 0.45, Recall: 0.81, Accuracy: 0.5, Eidx_Training: 205.21369, Eidx_CV: 51.88599 
C: 4.0,  Sigma: 0.8, TP:17.0, FP:22.0, TN:7.0, FN:4.0, Precesion: 0.44, Recall: 0.81, Accuracy: 0.48, Eidx_Training: 246.31791, Eidx_CV: 58.71905 
C: 2.0,  Sigma: 0.5, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 235.05105, Eidx_CV: 57.7291 
C: 1.8,  Sigma: 0.5, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 286.09669, Eidx_CV: 63.14374 
C: 4.0,  Sigma: 1.0, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 757.22036, Eidx_CV: 149.01949 
C: 2.0,  Sigma: 0.8, TP:19.0, FP:20.0, TN:9.0, FN:2.0, Precesion: 0.49, Recall: 0.9, Accuracy: 0.56, Eidx_Training: 239.08546, Eidx_CV: 57.36537 
C: 1.5,  Sigma: 0.5, TP:15.0, FP:20.0, TN:9.0, FN:6.0, Precesion: 0.43, Recall: 0.71, Accuracy: 0.48, Eidx_Training: 114.46871, Eidx_CV: 50.1671 
C: 1.3,  Sigma: 2.0, TP:13.0, FP:13.0, TN:16.0, FN:8.0, Precesion: 0.5, Recall: 0.62, Accuracy: 0.58, Eidx_Training: 199.10204, Eidx_CV: 45.92627 
C: 4.0,  Sigma: 1.5, TP:15.0, FP:13.0, TN:16.0, FN:6.0, Precesion: 0.54, Recall: 0.71, Accuracy: 0.62, Eidx_Training: 173.94839, Eidx_CV: 48.20786 
C: 1.0,  Sigma: 2.0, TP:17.0, FP:14.0, TN:15.0, FN:4.0, Precesion: 0.55, Recall: 0.81, Accuracy: 0.64, Eidx_Training: 205.57239, Eidx_CV: 43.85456 
C: 2.0,  Sigma: 0.3, TP:13.0, FP:17.0, TN:12.0, FN:8.0, Precesion: 0.43, Recall: 0.62, Accuracy: 0.5, Eidx_Training: 36.02025, Eidx_CV: 49.84434 
C: 1.3,  Sigma: 1.0, TP:11.0, FP:13.0, TN:16.0, FN:10.0, Precesion: 0.46, Recall: 0.52, Accuracy: 0.54, Eidx_Training: 117.71499, Eidx_CV: 44.97674 
C: 3.0,  Sigma: 1.0, TP:21.0, FP:25.0, TN:4.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 361.3546, Eidx_CV: 72.21755 
C: 0.6,  Sigma: 0.3, TP:20.0, FP:29.0, TN:0.0, FN:1.0, Precesion: 0.41, Recall: 0.95, Accuracy: 0.4, Eidx_Training: 136.87011, Eidx_CV: 53.1824 
C: 1.3,  Sigma: 0.3, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 219.06657, Eidx_CV: 55.99147 
C: 1.8,  Sigma: 1.5, TP:2.0, FP:4.0, TN:25.0, FN:19.0, Precesion: 0.33, Recall: 0.1, Accuracy: 0.54, Eidx_Training: 169.857, Eidx_CV: 54.2865 
C: 1.5,  Sigma: 1.0, TP:19.0, FP:22.0, TN:7.0, FN:2.0, Precesion: 0.46, Recall: 0.9, Accuracy: 0.52, Eidx_Training: 269.9942, Eidx_CV: 57.27869 
C: 2.0,  Sigma: 1.0, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 424.66823, Eidx_CV: 81.52593 
C: 1.5,  Sigma: 0.3, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 350.03845, Eidx_CV: 72.44568 
C: 2.0,  Sigma: 1.5, TP:19.0, FP:18.0, TN:11.0, FN:2.0, Precesion: 0.51, Recall: 0.9, Accuracy: 0.6, Eidx_Training: 260.13785, Eidx_CV: 51.99759 
C: 1.0,  Sigma: 0.3, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 215.20036, Eidx_CV: 55.76572 
C: 3.0,  Sigma: 2.0, TP:11.0, FP:6.0, TN:23.0, FN:10.0, Precesion: 0.65, Recall: 0.52, Accuracy: 0.68, Eidx_Training: 139.50402, Eidx_CV: 44.3612 
C: 4.0,  Sigma: 0.5, TP:15.0, FP:20.0, TN:9.0, FN:6.0, Precesion: 0.43, Recall: 0.71, Accuracy: 0.48, Eidx_Training: 107.08249, Eidx_CV: 50.60435 
C: 3.0,  Sigma: 0.5, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 231.53155, Eidx_CV: 57.82102 
C: 1.8,  Sigma: 2.0, TP:15.0, FP:17.0, TN:12.0, FN:6.0, Precesion: 0.47, Recall: 0.71, Accuracy: 0.54, Eidx_Training: 285.76354, Eidx_CV: 51.51984 
C: 0.6,  Sigma: 0.08, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 115.51376, Eidx_CV: 47.5622 
C: 0.6,  Sigma: 0.06, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 144.25072, Eidx_CV: 47.97395 
C: 0.6,  Sigma: 0.1, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 159.26537, Eidx_CV: 48.90076 
C: 0.6,  Sigma: 0.04, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 151.08919, Eidx_CV: 47.75744 
C: 0.6,  Sigma: 0.05, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 151.08919, Eidx_CV: 47.75744 
C: 4.0,  Sigma: 2.0, TP:9.0, FP:6.0, TN:23.0, FN:12.0, Precesion: 0.6, Recall: 0.43, Accuracy: 0.64, Eidx_Training: 258.42945, Eidx_CV: 60.93587 
C: 0.7,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 98.65861, Eidx_CV: 54.55073 
C: 0.7,  Sigma: 0.06, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 162.53636, Eidx_CV: 48.6835 
C: 0.7,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 97.16544, Eidx_CV: 54.62865 
C: 0.7,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 98.65861, Eidx_CV: 54.55072 
C: 0.8,  Sigma: 0.06, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 167.07706, Eidx_CV: 48.5147 
C: 0.8,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 188.0613, Eidx_CV: 54.90953 
C: 0.8,  Sigma: 0.1, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 179.84348, Eidx_CV: 48.54784 
C: 0.8,  Sigma: 0.08, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 200.82427, Eidx_CV: 49.00414 
C: 0.8,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 188.0613, Eidx_CV: 54.90952 
C: 1.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 218.39473, Eidx_CV: 56.83017 
C: 1.0,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 233.3808, Eidx_CV: 56.98262 
C: 1.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 215.22839, Eidx_CV: 56.48798 
